PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2018-19,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
1011,363,Amsterdam,13550,13550,1870,80,1880,930,0,110,580,780,70,1920,0,1610,1190,1710,330,0,80,310,100,0,0
1012,363,Amsterdam,32506,32520,2330,60,1420,7820,0,840,710,980,290,1660,0,10420,1720,300,980,0,370,820,1800,0,0
1013,363,Amsterdam,20589,20570,5070,600,1250,1550,0,290,1810,1670,530,2350,0,1410,620,800,490,0,150,600,1240,140,0
1014,363,Amsterdam,13732,13730,2180,770,230,460,0,690,230,1190,530,790,0,570,490,660,120,70,110,4500,120,0,20
1015,363,Amsterdam,10298,10290,2330,130,960,830,0,680,1250,270,270,940,0,1300,390,10,260,0,230,380,60,0,0
1016,363,Amsterdam,15281,15260,2800,180,1030,1490,0,720,800,700,220,1550,10,2020,600,720,590,0,300,1460,70,0,0
1017,363,Amsterdam,33035,33030,5520,120,2300,3230,40,3410,740,740,290,3190,0,6540,620,220,700,330,450,4480,110,0,0
1018,363,Amsterdam,21586,21570,4480,310,1450,850,0,460,3110,600,190,1770,0,1170,2380,2310,1000,0,860,530,100,0,0
1019,363,Amsterdam,15700,15710,4540,450,1000,710,0,80,690,500,390,2540,0,1060,730,150,340,10,300,2070,150,0,0
1021,363,Amsterdam,4295,4290,790,120,390,660,0,30,300,280,60,590,0,250,160,0,60,0,60,330,210,0,0
1022,363,Amsterdam,2093,2110,490,40,150,80,0,20,90,110,510,150,0,100,190,0,30,0,10,110,30,0,0
1023,363,Amsterdam,1602,1610,290,60,190,120,0,30,270,170,80,90,0,60,90,0,40,0,20,30,70,0,0
1024,363,Amsterdam,2512,2520,240,160,140,310,0,0,640,50,60,80,0,90,320,30,80,0,20,100,200,0,0
1025,363,Amsterdam,5525,5540,480,140,260,1230,0,40,950,60,50,190,0,260,560,750,200,0,50,170,150,0,0
1026,363,Amsterdam,252,250,50,10,20,10,0,0,20,0,10,20,0,60,0,0,10,0,30,0,10,0,0
1027,363,Amsterdam,470,470,30,20,40,0,0,0,80,150,0,10,50,10,10,60,10,0,0,0,0,0,0
1028,363,Amsterdam,243,260,30,20,20,0,0,0,20,10,10,10,40,40,20,0,10,0,0,20,10,0,0
1031,363,Amsterdam,7088,7070,2190,280,560,650,0,50,570,170,320,690,0,670,360,0,100,10,30,320,100,0,0
1032,363,Amsterdam,3543,3560,410,270,260,410,0,10,290,120,300,150,0,260,230,50,90,0,120,290,290,10,0
1033,363,Amsterdam,9922,9900,2060,680,400,590,0,70,1350,910,880,870,0,620,330,50,220,0,70,500,260,40,0
1034,363,Amsterdam,3504,3510,210,130,160,290,0,90,1780,40,20,80,0,70,250,0,90,0,10,110,180,0,0
1035,363,Amsterdam,2504,2520,330,260,210,420,0,10,250,40,40,130,0,200,210,60,90,0,10,130,110,20,0
1036,363,Amsterdam,451,470,90,20,40,90,0,0,60,10,0,20,0,20,60,0,10,0,0,10,40,0,0
1037,363,Amsterdam,30,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,363,Amsterdam,1835,1860,220,160,10,20,0,0,0,340,30,20,0,0,0,20,0,220,10,380,100,330,0
1042,363,Amsterdam,5157,5150,290,550,0,420,0,60,10,730,170,100,0,10,140,180,0,0,20,310,2160,0,0
1043,363,Amsterdam,25643,25650,2770,910,360,630,0,2060,280,1290,1370,4220,0,470,480,6110,250,1140,850,1620,840,0,0
1044,363,Amsterdam,1260,1260,10,10,0,510,0,0,0,180,60,0,0,0,0,0,0,10,0,30,390,60,0
1045,363,Amsterdam,2000,2000,90,220,10,60,0,0,0,580,230,0,0,10,0,0,10,0,80,30,70,610,0
1046,363,Amsterdam,5429,5440,290,500,60,520,0,60,60,840,380,80,0,130,40,30,100,0,30,530,1550,240,0
1047,363,Amsterdam,3149,3150,10,30,30,150,0,0,0,740,560,0,0,10,0,0,0,0,10,60,1520,0,30
1051,363,Amsterdam,6051,6060,920,120,520,490,0,30,440,1090,260,680,0,420,470,130,140,0,30,150,170,0,0
1052,363,Amsterdam,4667,4650,940,70,590,510,0,10,800,60,140,330,0,380,350,70,130,0,110,90,70,0,0
1053,363,Amsterdam,7156,7160,1100,120,760,1410,0,80,680,150,120,500,0,980,590,0,280,0,60,250,80,0,0
