PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20181001;00AO;0;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST;285;Voorst;Gelderland;Vso;3-apr;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;1;4;8;19;30;44;33;7;2;0;0;0;0;0;0;148
20181001;00AO;1;VSO ZMOK De Bolster;7322CZ;APELDOORN;200;Apeldoorn;Gelderland;Vso;3-apr;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;0;0;1;5;7;11;2;2;0;0;0;0;0;0;0;28
20181001;00AP;0;Wereldwijs;2716PH;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;12;11;9;12;12;19;8;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20181001;00AR;0;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;nvt;Rooms-Katholiek;41797;0;17;21;15;19;16;23;18;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;143
20181001;00AV;0;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;8;9;7;6;11;10;3;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20181001;00AW;0;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;3-apr;Protestants-Christelijk;62077;0;0;0;0;1;6;7;18;17;10;1;0;0;0;0;0;0;0;0;0;0;0;0;60
20181001;00AW;2;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;3-apr;Protestants-Christelijk;62077;0;0;0;0;2;1;3;11;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;31
20181001;00AZ;0;De Stapsteen;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;nvt;Openbaar;41638;0;11;13;11;11;9;15;9;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20181001;00BA;0;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;nvt;Openbaar;41530;0;9;6;12;8;8;9;16;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;82
20181001;00BB;0;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;nvt;Openbaar;41613;0;13;11;8;8;7;10;8;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;77
20181001;00BS;0;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;nvt;Gereformeerd vrijgemaakt;41632;0;11;8;21;18;15;11;19;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;117
20181001;00BW;0;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;nvt;Algemeen bijzonder;41516;0;18;18;19;10;16;11;16;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;118
20181001;00BZ;0;Geref SBO Het Speelwerk;8031HL;ZWOLLE;193;Zwolle;Overijssel;Sbo;nvt;Gereformeerd vrijgemaakt;41632;0;2;1;6;8;6;13;16;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20181001;00CD;0;Basisschool Lockaert;5345JG;OSS;828;Oss;Noord-Brabant;Bo;nvt;Algemeen bijzonder;41228;0;19;30;24;18;14;20;14;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;157
20181001;00CG;0;De Harlekijn;6372AC;LANDGRAAF;882;Landgraaf;Limburg;Bo;nvt;Openbaar;41516;0;50;54;45;49;69;52;47;39;6;0;0;0;0;0;0;0;0;0;0;0;0;0;411
20181001;00CS;0;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;nvt;Gereformeerd vrijgemaakt;41025;0;8;10;8;8;7;17;10;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;76
20181001;00CU;0;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;nvt;Antroposofisch;41246;0;13;12;7;11;10;8;7;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20181001;00CV;0;School Matthijsje;8388NA;OOSTERSTREEK;98;Weststellingwerf;Friesland;Bo;nvt;Algemeen bijzonder;20210;0;9;7;6;7;5;8;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20181001;00DA;0;Chr BS Betrouwen;9243SJ;BAKKEVEEN;86;Opsterland;Friesland;Bo;nvt;Protestants-Christelijk;30051;0;6;7;8;1;10;9;11;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;61
20181001;00DD;0;Basissch Het Startnest;1422LE;UITHOORN;451;Uithoorn;Noord-Holland;Bo;nvt;Rooms-Katholiek;30090;0;28;13;28;31;34;35;43;29;7;0;0;0;0;0;0;0;0;0;0;0;0;0;248
20181001;00DM;0;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;nvt;Openbaar;75388;0;15;11;18;10;11;22;17;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20181001;00DN;0;De Bundeling;6241BB;BUNDE;938;Meerssen;Limburg;Bo;nvt;Openbaar;42669;0;15;13;17;18;20;19;17;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;135
