PEILDATUM;INSTELLINGSCODE;VESTIGINGSCODE;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20221001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST; 285;Voorst;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;0;1;12;24;24;36;36;17;3;0;0;0;0;0;0;153
20221001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN; 200;Apeldoorn;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20221001;00AP;00;WereldWijs;2716PH;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;11;12;12;14;14;11;16;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;106
20221001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;nvt;Rooms-Katholiek;41797;0;14;13;22;21;16;18;12;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20221001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;7;9;9;10;12;5;6;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20221001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;  4;Protestants-Christelijk;62077;0;0;0;2;11;10;17;19;19;11;2;0;0;0;0;0;0;0;0;0;0;0;0;91
20221001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;  4;Protestants-Christelijk;62077;0;0;0;0;0;0;2;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20221001;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;1978;Molenlanden;Zuid-Holland;Bo;nvt;Openbaar;41638;0;10;11;9;6;10;15;12;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;84
20221001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;nvt;Openbaar;41613;0;8;4;10;7;13;13;5;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20221001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;nvt;Gereformeerd vrijgemaakt;41632;0;9;15;8;16;11;5;20;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20221001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;nvt;Algemeen bijzonder;41516;0;9;9;16;10;21;18;16;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;111
20221001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;nvt;Gereformeerd vrijgemaakt;41632;0;1;5;4;4;7;7;20;19;6;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20221001;00CD;00;Basisschool De Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;nvt;Algemeen bijzonder;41228;0;33;35;25;20;21;26;25;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;204
20221001;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;nvt;Openbaar;41516;0;58;41;49;52;47;52;45;46;14;2;0;0;0;0;0;0;0;0;0;0;0;0;406
20221001;00CS;00;Basisschool De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;nvt;Gereformeerd vrijgemaakt;42607;0;8;9;11;7;6;9;6;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20221001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;nvt;Antroposofisch;41246;0;11;14;12;13;17;13;7;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100
20221001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;nvt;Algemeen bijzonder;20210;0;10;11;8;9;9;6;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20221001;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;nvt;Protestants-Christelijk;84332;0;4;9;4;3;7;6;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20221001;00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;nvt;Rooms-Katholiek;40581;0;31;27;30;32;25;21;29;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0;222
