PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Drenthe;10053;18BR;18BR00;School voor Praktijkonderwijs Assen;Zwartwatersweg;202;9406 NN;ASSEN;0106;ASSEN;Openbaar;0592340973;www.pro-assen.nl;PRO;Zwartwatersweg;202;9406 NN;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;10053;18BR;18BR01;School voor Praktijkonderwijs Assen;Bosrand;2;9401 SL;ASSEN;0106;ASSEN;Openbaar; ; ;PRO;Zwartwatersweg;202;9406 NN;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;02EB;02EB00;Stichting Christelijk Voortgezet Onderw Vincent van Gogh VWO Havo Mavo Vbo Lwoo;Selma Lagerloflaan;3;9406 KB;ASSEN;0106;ASSEN;Bijzonder;0592390290;www.csvincentvangogh.nl;HAVO/VWO;Postbus;226;9400 AE;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;02EB;02EB04;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;Salland;4;9405 GM;ASSEN;0106;ASSEN;Bijzonder;0592390290;www.csvincentvangogh.nl;VBO/MAVO;Postbus;226;9400 AE;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;02EB;02EB07;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;De Omloop;5;9411 KA;BEILEN;1731;MIDDEN-DRENTHE;Bijzonder;0593522819;www.csvincentvangogh.nl;VBO/MAVO;Postbus;226;9400 AE;ASSEN;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;20LO;20LO00;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;Mr Groen v Prinstererln;98;9402 KG;ASSEN;0106;ASSEN;Openbaar;0592390290;www.dr.nassaucollege.nl;HAVO/VWO;Postbus;186;9400 AD;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;20LO;20LO01;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;Schoolstraat;1;9331 AV;NORG;1699;NOORDENVELD;Openbaar;0592675750; ;VBO/MAVO/HAVO/VWO;Postbus;186;9400 AD;ASSEN;01;Groningen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;01;Groningen en omstreken;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;20LO;20LO02;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;De Omloop;5;9411 KA;BEILEN;1731;MIDDEN-DRENTHE;Openbaar;0593522819; ;VBO/MAVO;Postbus;186;9400 AD;ASSEN;11;Assen;05;Zuid- en Midden-Drenthe;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;20LO;20LO03;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;Stokleggingslaan;17;9461 CC;GIETEN;1680;AA EN HUNZE;Openbaar;0592261983; ;VBO/MAVO;Postbus;186;9400 AD;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
Drenthe;13273;20LO;20LO04;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;A.H.G. Fokkerstraat;1;9403 AM;ASSEN;0106;ASSEN;Openbaar;0592333160; ;VBO/MAVO;Postbus;186;9400 AD;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe;Noord
