BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
10028;19HY;19HY00;Burg Walda SGM;NES AMELAND;60;AMELAND;Friesland;145;0
10053;18BR;18BR00;Praktijkonderwijs Assen e/o;ASSEN;106;ASSEN;Drenthe;234;0
10867;19ET;19ET00;GSG t Schylger Jouw voor vmbo;MIDSLAND;93;TERSCHELLING;Friesland;114;0
12975;01XN;01XN00;Almere College;KAMPEN;166;KAMPEN;Overijssel;552;5
12975;01XN;01XN01;Almere College;DRONTEN;303;DRONTEN;Flevoland;830;8
12975;01XN;01XN02;Almere College;KAMPEN;166;KAMPEN;Overijssel;179;0
12975;01XN;01XN07;Almere College;DRONTEN;303;DRONTEN;Flevoland;81;0
12975;01XN;01XN08;Almere College;DRONTEN;303;DRONTEN;Flevoland;119;0
12975;01XN;01XN09;Almere College;DRONTEN;303;DRONTEN;Flevoland;330;0
12975;01XN;01XN10;Almere College;KAMPEN;166;KAMPEN;Overijssel;171;0
13273;20LO;20LO00;Opb SGM Dr Nassau Coll;ASSEN;106;ASSEN;Drenthe;1604;30
13273;20LO;20LO01;Opb SGM Dr Nassau Coll;NORG;1699;NOORDENVELD;Drenthe;178;0
13273;20LO;20LO02;Opb SGM Dr Nassau Coll;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;290;0
13273;20LO;20LO03;Opb SGM Dr Nassau Coll;GIETEN;1680;AA EN HUNZE;Drenthe;204;0
13273;20LO;20LO04;Opb SGM Dr Nassau College;ASSEN;106;ASSEN;Drenthe;1002;<5
13273;20LO;20LO08;Opb SGM Dr Nassau Coll;ASSEN;106;ASSEN;Drenthe;317;0
13278;13EE;13EE00;Regionale Sgm Enkhuizen;ENKHUIZEN;388;ENKHUIZEN;Noord-Holland;1520;13
13360;17AN;17AN00;Minkema College;WOERDEN;632;WOERDEN;Utrecht;1861;8
13360;17AN;17AN01;Minkema College;WOERDEN;632;WOERDEN;Utrecht;688;0
